Company                                        , District                         , Grades Served                    , Address                                           , Phone         , Website                                   , execution_date
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY, Weslaco ISD                      , Prekindergarten - Prekindergarten, "400 S Oklahoma Ave, Weslaco, TX 78596"           , (956) 969-6620, http://www.wisd.us/                       , 2025-04-06T20:41:03.229012
A B DUNCAN COLLEGIATE ELEM                     , Floydada Collegiate ISD          , Early Education - Grade 5        , "1101 S 8th St, Floydada, TX 79235"               , (806) 983-5332, http://www.floydadaisd.esc17.net/         , 2025-04-06T20:41:03.229012
A B MCBAY ELEM                                 , Mexia ISD                        , Early Education - Grade 2        , "1000 N Ross, Mexia, TX 76667"                    , (254) 562-4030, http://www.mexiaisd.net/                  , 2025-04-06T20:41:03.229012
A G ELDER ELEM                                 , Joshua ISD                       , Early Education - Grade 5        , "513 Henderson St, Joshua, TX 76058"              , (817) 202-2500, http://www.joshuaisd.org/                 , 2025-04-06T20:41:03.229012
A M OCHOA ELEM                                 , Donna ISD                        , Prekindergarten - Grade 5        , "424 S 11th St, Donna, TX 78537"                  , (956) 464-1900, http://www.donnaisd.net/                  , 2025-04-06T20:41:03.229012
A M PATE ELEM                                  , Fort Worth ISD                   , Prekindergarten - Grade 5        , "3800 Anglin Dr, Fort Worth, TX 76119"            , (817) 815-3800, http://www.fortworthisd.org/              , 2025-04-06T20:41:03.229012
A N RICO ELEM                                  , Weslaco ISD                      , Prekindergarten - Grade 5        , "2202 N International Blvd, Weslaco, TX 78596"    , (956) 969-6815, http://rico.wisd.us/                      , 2025-04-06T20:41:03.229012
A V CATO ELEM                                  , Castleberry ISD                  , Prekindergarten - Grade 5        , "4501 Barbara Rd, Fort Worth, TX 76114"           , (817) 252-2400, http://avc.castleberryisd.net/            , 2025-04-06T20:41:03.229012
A+ ACADEMY ELEM                                , A+ Academy                       , Prekindergarten - Grade 6        , "10327 Rylie Rd, Dallas, TX 75217"                , (972) 557-5578, http://www.rylieffa.com/                  , 2025-04-06T20:41:03.229012
AARON PARKER ELEM                              , North Lamar ISD                  , Prekindergarten - Grade 4        , "98 CR 44112, Powderly, TX 75473"                 , (903) 732-3066, http://www.northlamar.net/                , 2025-04-06T20:41:03.229012
ABBETT ELEM                                    , Garland ISD                      , Kindergarten - Grade 5           , "730 W Muirfield Rd, Garland, TX 75044"           , (972) 675-3000, http://www.garlandisdschools.net/abbett   , 2025-04-06T20:41:03.229012
ABBOTT SCHOOL                                  , Abbott ISD                       , Prekindergarten - Grade 12       , "219 S First St, Abbott, TX 76621"                , (254) 582-3011, http://www.abbottisd.org/                 , 2025-04-06T20:41:03.229012
